scrutin_id,legislature,numero,date_scrutin,titre,objet,code_type_vote,libelle_type_vote,sort_code,sort_libelle,mode_publication,nombre_votants,suffrages_exprimes,pour,contre,abstentions,non_votants,demandeur,organe_ref,session_ref,seance_ref
VTANR5L14V1156,14,1156,2015-07-20,l'amendement n° 168 de M. Larrivé avant l'article premier du projet de loi relatif au droit des étrangers en France (première lecture).,l'amendement n° 168 de M. Larrivé avant l'article premier du projet de loi relatif au droit des étrangers en France (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,27,27,7,20,0,2,,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19442
VTANR5L14V1157,14,1157,2015-07-21,l'amendement n° 85 de M. Larrivé à l'article 10 du projet de loi relatif au droit des étrangers en France (première lecture).,l'amendement n° 85 de M. Larrivé à l'article 10 du projet de loi relatif au droit des étrangers en France (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,32,32,8,24,0,2,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19444
VTANR5L14V1158,14,1158,2015-07-23,l'amendement n° 431 du Gouvernement après l'article 30 du projet de loi relatif au droit des étrangers en France (première lecture).,l'amendement n° 431 du Gouvernement après l'article 30 du projet de loi relatif au droit des étrangers en France (première lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,27,27,25,2,0,2,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19448
VTANR5L14V1159,14,1159,2015-07-23,l'amendement n° 432 du Gouvernement après l'article 30 du projet de loi relatif au droit des étrangers en France (première lecture).,l'amendement n° 432 du Gouvernement après l'article 30 du projet de loi relatif au droit des étrangers en France (première lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,26,26,23,3,0,2,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19448
VTANR5L14V1160,14,1160,2015-09-15,l'amendement n° 239 du Gouvernement à l'article 22 du projet de loi relatif à l'adaptation de la société au vieillissement (2ème lecture).,l'amendement n° 239 du Gouvernement à l'article 22 du projet de loi relatif à l'adaptation de la société au vieillissement (2ème lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,22,21,12,9,1,2,Président du groupe de l'union des démocrates et indépendants,PO644420,SCR5A2015E2,RUANR5L14S2015IDS19469
VTANR5L14V1161,14,1161,2015-09-16,l'amendement n° 202 de suppression de M. Richard à l'article 32 bis du projet de loi relatif à l'adaptation de la société au vieillissement (2ème lecture).,l'amendement n° 202 de suppression de M. Richard à l'article 32 bis du projet de loi relatif à l'adaptation de la société au vieillissement (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,21,21,6,15,0,2,Président du groupe de l'union des démocrates et indépendants,PO644420,SCR5A2015E2,RUANR5L14S2015IDS19472
VTANR5L14V1162,14,1162,2015-09-17,l'article unique du projet de loi autorisant l'approbation de l'accord sous forme d'échange de lettres entre le Gouvernement de la République française et le Gouvernement de la Fédération de Russie sur le règlement des obligations complémentaires liées à la cessation de l'accord du 25 janvier 2011 relatif à la coopération dans le domaine de la construction de bâtiments de projection et de commandement.,l'article unique du projet de loi autorisant l'approbation de l'accord sous forme d'échange de lettres entre le Gouvernement de la République française et le Gouvernement de la Fédération de Russie sur le règlement des obligations complémentaires liées à la cessation de l'accord du 25 janvier 2011 relatif à la coopération dans le domaine de la construction de bâtiments de projection et de commandement.,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,23,21,13,8,2,2,Président du groupe Les Républicains,PO644420,SCR5A2015E2,RUANR5L14S2015IDS19474
VTANR5L14V1163,14,1163,2015-09-29,"l'amendement 376 du Gouvernement à l'article 5 du projet de loi relatif à la liberté de la création, à l'architecture et au patrimoine (première lecture).","l'amendement 376 du Gouvernement à l'article 5 du projet de loi relatif à la liberté de la création, à l'architecture et au patrimoine (première lecture).",SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,34,23,22,1,11,2,Président du groupe écologiste,PO644420,SCR5A2015E2,RUANR5L14S2015IDS19478
VTANR5L14V1164,14,1164,2015-09-30,"l'amendement n° 351 (rect.) de Mme Attard après l'article 11 A du projet de loi relatif à la liberté de création, à l'architecture et au patrimoine (première lecture).","l'amendement n° 351 (rect.) de Mme Attard après l'article 11 A du projet de loi relatif à la liberté de création, à l'architecture et au patrimoine (première lecture).",SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,30,27,5,22,3,2,Président du groupe écologiste,PO644420,SCR5A2015E2,RUANR5L14S2015IDS19481
VTANR5L14V1165,14,1165,2015-10-05,l'amendement n° 257 de Mme Massonneau à l'article 3 de la proposition de loi créant de nouveaux droits pour les personnes malades en fin de vie (deuxième lecture).,l'amendement n° 257 de Mme Massonneau à l'article 3 de la proposition de loi créant de nouveaux droits pour les personnes malades en fin de vie (deuxième lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,52,48,11,37,4,2,Président du groupe écologiste,PO644420,SCR5A2016O1,RUANR5L14S2016IDS19522
VTANR5L14V1166,14,1166,2015-10-05,l'amendement n° 64 de M. Touraine et l'amendement identique à l'article 3 de la proposition de loi créant de nouveaux droits pour les personnes malades en fin de vie (deuxième lecture).,l'amendement n° 64 de M. Touraine et l'amendement identique à l'article 3 de la proposition de loi créant de nouveaux droits pour les personnes malades en fin de vie (deuxième lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,61,61,26,35,0,2,"Président du groupe radical, républicain, démocrate et progressiste",PO644420,SCR5A2016O1,RUANR5L14S2016IDS19522
VTANR5L14V1167,14,1167,2015-10-06,"l'ensemble du projet de loi relatif à la liberté de la création, à l'architecture et au patrimoine (première lecture).","l'ensemble du projet de loi relatif à la liberté de la création, à l'architecture et au patrimoine (première lecture).",SPS,scrutin public solennel,adopté,l'Assemblée nationale a adopté,DecompteNominatif,521,492,297,195,29,2,Conférence des présidents,PO644420,SCR5A2016O1,RUANR5L14S2016IDS19523
VTANR5L14V1168,14,1168,2015-10-14,l'amendement n° 776 de M. Laurent Baumel après l'article 2 du projet de loi de finances pour 2016 (première lecture).,l'amendement n° 776 de M. Laurent Baumel après l'article 2 du projet de loi de finances pour 2016 (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,49,46,19,27,3,2,Président du groupe de la gauche démocrate et républicaine,PO644420,SCR5A2016O1,RUANR5L14S2016IDS19535
VTANR5L14V1169,14,1169,2015-10-14,l'article 2 du projet de loi de finances pour 2016 (première lecture).,l'article 2 du projet de loi de finances pour 2016 (première lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,38,38,38,0,0,2,"Président du groupe socialiste, républicain et citoyen",PO644420,SCR5A2016O1,RUANR5L14S2016IDS19536
VTANR5L14V1170,14,1170,2015-10-15,les amendements identiques n° 309 de Mme Sas et n° 755 de M. Sansu après l'article 5 du projet de loi de finances pour 2016 (première lecture).,les amendements identiques n° 309 de Mme Sas et n° 755 de M. Sansu après l'article 5 du projet de loi de finances pour 2016 (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,35,34,6,28,1,2,Président du groupe de la gauche démocrate et républicaine,PO644420,SCR5A2016O1,RUANR5L14S2016IDS19539
VTANR5L14V1171,14,1171,2015-10-16,l'amendement n°743 de M. Sansu après l'article 8 du projet de loi de finances pour 2016 (première lecture).,l'amendement n°743 de M. Sansu après l'article 8 du projet de loi de finances pour 2016 (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,34,30,5,25,4,2,Président du groupe de la gauche démocrate et républicaine,PO644420,SCR5A2016O1,RUANR5L14S2016IDS19542
VTANR5L14V1172,14,1172,2015-10-16,l'amendement n°230 rect. de la commission des finances et les amendements identiques après l'article 8 du projet de loi de finances pour 2016 (première lecture).,l'amendement n°230 rect. de la commission des finances et les amendements identiques après l'article 8 du projet de loi de finances pour 2016 (première lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,41,40,32,8,1,1,Président du groupe de la gauche démocrate et républicaine,PO644420,SCR5A2016O1,RUANR5L14S2016IDS19542
VTANR5L14V1173,14,1173,2015-10-16,l'amendement n°180 de M. Laurent Baumel et l'amendement identique à l'article 10 du projet de loi de finances pour 2016 (première lecture).,l'amendement n°180 de M. Laurent Baumel et l'amendement identique à l'article 10 du projet de loi de finances pour 2016 (première lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,17,15,2,13,2,2,Président du groupe de la gauche démocrate et républicaine,PO644420,SCR5A2016O1,RUANR5L14S2016IDS19541
