acteur_id,nom,prenom,civilite,trigramme,date_naissance,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp,an_legislatures,senat_active
PA605745,Sansu,Nicolas,M.,nsa,1968-06-17,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,2,Cher,Permanent politique,https://www.hatvp.fr/pages_nominatives/sansu-nicolas,17,False
PA605782,Marcangeli,Laurent,M.,LMC,1980-12-10,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,1,Corse-du-Sud,Avocat,https://www.hatvp.fr/pages_nominatives/marcangeli-laurent,17,False
PA606507,Boudié,Florent,M.,FBU,1973-09-22,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,10,Gironde,Cadre supérieur du secteur public,https://www.hatvp.fr/pages_nominatives/boudie-florent,17,False
PA606545,Roumégas,Jean-Louis,M.,JROM,1962-06-06,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,1,Hérault,Enseignant 1er deg.- Professeur d'école,https://www.hatvp.fr/pages_nominatives/roumegas-jean-louis,17,False
PA606573,Dombre Coste,Fanny,Mme,FDO,1956-12-26,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,3,Hérault,Artisan Photographe,https://www.hatvp.fr/pages_nominatives/dombre-coste-fanny,17,False
PA606793,Baumel,Laurent,M.,LBA,1965-08-13,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,4,Indre-et-Loire,Cadre supérieur du secteur public,https://www.hatvp.fr/pages_nominatives/baumel-laurent,17,False
PA607090,Vigier,Jean-Pierre,M.,JVI,1969-10-22,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Haute-Loire,Fonctionnaire de catégorie A,https://www.hatvp.fr/pages_nominatives/vigier-jean-pierre,17,False
PA607193,Errante,Sophie,Mme,SER,1971-07-22,PO840056,NI,Non inscrit,NI,#8D949A,,10,Loire-Atlantique,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/errante-sophie,17,False
PA607395,Travert,Stéphane,M.,str,1969-10-12,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Manche,Cadre secteur privé,https://www.hatvp.fr/pages_nominatives/travert-stephane,17,False
PA607553,Potier,Dominique,M.,DPO,1964-03-17,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,5,Meurthe-et-Moselle,Agriculteur,https://www.hatvp.fr/pages_nominatives/potier-dominique,17,False
PA607619,Molac,Paul,M.,PMO,1962-05-21,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,4,Morbihan,Professeur du secondaire,https://www.hatvp.fr/pages_nominatives/molac-paul,17,False
PA608172,Pirès Beaune,Christine,Mme,CPI,1964-10-06,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Puy-de-Dôme,Fonctionnaire de catégorie A,https://www.hatvp.fr/pages_nominatives/pires-beaune-christine,17,False
PA608264,Capdevielle,Colette,Mme,CCP,1958-10-14,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,5,Pyrénées-Atlantiques,Avocate,https://www.hatvp.fr/pages_nominatives/capdevielle-colette,17,False
PA608416,Hetzel,Patrick,M.,PHE,1964-07-02,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,7,Bas-Rhin,Professeur des Universités,https://www.hatvp.fr/pages_nominatives/hetzel-patrick,17,False
PA608826,Duby-Muller,Virginie,Mme,VDU,1979-08-16,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,4,Haute-Savoie,Cadre du secteur privé,https://www.hatvp.fr/pages_nominatives/duby-muller-virginie,17,False
PA609332,Faure,Olivier,M.,OFU,1968-08-18,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,11,Seine-et-Marne,Cadre supérieur (secteur privé),https://www.hatvp.fr/pages_nominatives/faure-olivier,17,False
