matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw
17737W,0.7740920235922456,-0.06186756029777124,Boyer,Valérie,UMP,Les Républicains,Bouches-du-Rhône,174,https://www.senat.fr/senateur/boyer_valerie17737w.html,https://www.senat.fr/senimg/boyer_valerie17737w_carre.jpg,Valérie Boyer,0.7740920235922456,-0.10969425584711213
17779H,-0.8484341539019505,0.04224460288318297,Lubin,Monique,SOC,SER,Landes,241,https://www.senat.fr/senateur/lubin_monique17779h.html,https://www.senat.fr/senimg/lubin_monique17779h_carre.jpg,Monique Lubin,-0.8484341539019505,0.07490177816167194
17965H,-0.8313323445080127,0.04152675572237188,Poumirol,Émilienne,SOC,SER,Haute-Garonne,71,https://www.senat.fr/senateur/poumirol_emilienne17965h.html,https://www.senat.fr/senimg/poumirol_emilienne17965h_carre.jpg,Émilienne Poumirol,-0.8313323445080127,0.07362899950775158
18045D,0.09304989455192592,0.11137437280051239,Bourguignon,Brigitte,UC,UC,Pas-de-Calais,85,https://www.senat.fr/senateur/bourguignon_brigitte18045d.html,https://www.senat.fr/senimg/bourguignon_brigitte18045d_carre.jpg,Brigitte Bourguignon,0.09304989455192592,0.19747229219949008
18083K,0.712360926914339,-0.003952387222430655,Chevrollier,Guillaume,UMP,Les Républicains,Mayenne,12,https://www.senat.fr/senateur/chevrollier_guillaume18083k.html,https://www.senat.fr/senimg/chevrollier_guillaume18083k_carre.jpg,Guillaume Chevrollier,0.712360926914339,-0.007007778763174921
18193Q,-0.8851036249920009,0.048045377973785885,Le Houerou,Annie,SOC,SER,Côtes-d'Armor,43,https://www.senat.fr/senateur/le_houerou_annie18193q.html,https://www.senat.fr/senimg/le_houerou_annie18193q_carre.jpg,Annie Le Houerou,-0.8851036249920009,0.085186840379053
18207D,-0.8605420408023812,0.06655682358360988,Linkenheld,Audrey,SOC,SER,Nord,112,https://www.senat.fr/senateur/linkenheld_audrey18207d.html,https://www.senat.fr/senimg/linkenheld_audrey18207d_carre.jpg,Audrey Linkenheld,-0.8605420408023812,0.11800855245320903
18231D,-0.8549717313206932,0.07046015971622326,Narassiguin,Corinne,SOC,SER,Seine-Saint-Denis,240,https://www.senat.fr/senateur/narassiguin_corinne18231d.html,https://www.senat.fr/senimg/narassiguin_corinne18231d_carre.jpg,Corinne Narassiguin,-0.8549717313206932,0.12492936119897742
18395Y,-0.9248633269531827,0.0530473992355645,Daniel,Karine,SOC,SER,Loire-Atlantique,192,https://www.senat.fr/senateur/daniel_karine18395y.html,https://www.senat.fr/senimg/daniel_karine18395y_carre.jpg,Karine Daniel,-0.9248633269531827,0.09405567240348317
19057M,-0.2720385838024592,0.488052114534695,Cazebonne,Samantha,LREM,RDPI,Français établis hors de France (Série 2),48,https://www.senat.fr/senateur/cazebonne_samantha19057m.html,https://www.senat.fr/senimg/cazebonne_samantha19057m_carre.jpg,Samantha Cazebonne,-0.2720385838024592,0.8653406286076153
19111A,0.2056050323774501,0.0995385742108582,Florennes,Isabelle,UC,UC,Hauts-de-Seine,88,https://www.senat.fr/senateur/florennes_isabelle19111a.html,https://www.senat.fr/senimg/florennes_isabelle19111a_carre.jpg,Isabelle Florennes,0.2056050323774501,0.1764868337071954
19251M,-0.8828650432151617,0.04232733065839786,Devinaz,Gilbert-Luc,SOC,SER,Rhône,297,https://www.senat.fr/senateur/devinaz_gilbert_luc19251m.html,https://www.senat.fr/senimg/devinaz_gilbert_luc19251m_carre.jpg,Gilbert-Luc Devinaz,-0.8828650432151617,0.07504845861418061
19295A,-0.7849228063746178,0.057711846063929366,Conconne,Catherine,SOC,SER,Martinique,17,https://www.senat.fr/senateur/conconne_catherine19295a.html,https://www.senat.fr/senimg/conconne_catherine19295a_carre.jpg,Catherine Conconne,-0.7849228063746178,0.10232596819845634
19301E,-0.24286917811086878,0.5074672779106489,Théophile,Dominique,LREM,RDPI,Guadeloupe,22,https://www.senat.fr/senateur/theophile_dominique19301e.html,https://www.senat.fr/senimg/theophile_dominique19301e_carre.jpg,Dominique Théophile,-0.24286917811086878,0.8997646771465408
19331L,-0.3770375100979467,0.17685151924499898,Omar Oili,Saïd,SOC,SER,Mayotte,246,https://www.senat.fr/senateur/omar_oili_said19331l.html,https://www.senat.fr/senimg/omar_oili_said19331l_carre.jpg,Saïd Omar Oili,-0.3770375100979467,0.3135665234840408
19335Q,0.22777890370908382,0.06912015405318968,Mizzon,Jean-Marie,UC,UC,Moselle,324,https://www.senat.fr/senateur/mizzon_jean_marie19335q.html,https://www.senat.fr/senimg/mizzon_jean_marie19335q_carre.jpg,Jean-Marie Mizzon,0.22777890370908382,0.12255346463331504
19347U,-0.6672257123960215,-0.06460373416150382,Gontard,Guillaume,GEST,GEST,Isère,248,https://www.senat.fr/senateur/gontard_guillaume19347u.html,https://www.senat.fr/senimg/gontard_guillaume19347u_carre.jpg,Guillaume Gontard,-0.6672257123960215,-0.11454562794592878
19349W,-0.23946094985045352,0.5108206975695878,Rambaud,Didier,LREM,RDPI,Isère,114,https://www.senat.fr/senateur/rambaud_didier19349w.html,https://www.senat.fr/senimg/rambaud_didier19349w_carre.jpg,Didier Rambaud,-0.23946094985045352,0.9057104566836665
19367Y,0.635012717679825,-0.038339675336923555,Bonfanti-Dossat,Christine,UMP,Les Républicains,Lot-et-Garonne,36,https://www.senat.fr/senateur/bonfanti_dossat_christine19367y.html,https://www.senat.fr/senimg/bonfanti_dossat_christine19367y_carre.jpg,Christine Bonfanti-Dossat,0.635012717679825,-0.06797814776050276
19383Y,0.82309218687456,-0.07203272763807722,Boyer,Jean-Marc,UMP,Les Républicains,Puy-de-Dôme,274,https://www.senat.fr/senateur/boyer_jean_marc19383y.html,https://www.senat.fr/senimg/boyer_jean_marc19383y_carre.jpg,Jean-Marc Boyer,0.82309218687456,-0.1277176021951724
19387D,-0.4053620106990664,0.18138370435196666,Gold,Éric,RDSE,RDSE,Puy-de-Dôme,118,https://www.senat.fr/senateur/gold_eric19387d.html,https://www.senat.fr/senimg/gold_eric19387d_carre.jpg,Éric Gold,-0.4053620106990664,0.321602312680792
19399H,0.8326283168637177,-0.057113035342800544,Hugonet,Jean-Raymond,UMP,Les Républicains,Essonne,282,https://www.senat.fr/senateur/hugonet_jean_raymond19399h.html,https://www.senat.fr/senimg/hugonet_jean_raymond19399h_carre.jpg,Jean-Raymond Hugonet,0.8326283168637177,-0.1012642470617031
19413M,-0.7925776617178457,0.026218870349953436,Tissot,Jean-Claude,SOC,SER,Loire,299,https://www.senat.fr/senateur/tissot_jean_claude19413m.html,https://www.senat.fr/senimg/tissot_jean_claude19413m_carre.jpg,Jean-Claude Tissot,-0.7925776617178457,0.04648735877651319
19421M,0.6882965594529139,-0.031189925501320544,Saury,Hugues,UMP,Les Républicains,Loiret,177,https://www.senat.fr/senateur/saury_hugues19421m.html,https://www.senat.fr/senimg/saury_hugues19421m_carre.jpg,Hugues Saury,0.6882965594529139,-0.055301286349859126
19447X,0.7916233214226067,-0.07597056469747739,Jourda,Muriel,UMP,Les Républicains,Morbihan,232,https://www.senat.fr/senateur/jourda_muriel19447x.html,https://www.senat.fr/senimg/jourda_muriel19447x_carre.jpg,Muriel Jourda,0.7916233214226067,-0.13469958279694574
19479G,0.19350766844835415,0.10983310784366833,Vermeillet,Sylvie,UC,UC,Jura,260,https://www.senat.fr/senateur/vermeillet_sylvie19479g.html,https://www.senat.fr/senimg/vermeillet_sylvie19479g_carre.jpg,Sylvie Vermeillet,0.19350766844835415,0.19473955291430556
19489J,-0.8401430267748964,0.04575170805137169,Kerrouche,Éric,SOC,SER,Landes,108,https://www.senat.fr/senateur/kerrouche_eric19489j.html,https://www.senat.fr/senimg/kerrouche_eric19489j_carre.jpg,Éric Kerrouche,-0.8401430267748964,0.08112004973647463
19507S,0.6856471889703306,-0.05785830545537607,Duplomb,Laurent,UMP,Les Républicains,Haute-Loire,332,https://www.senat.fr/senateur/duplomb_laurent19507s.html,https://www.senat.fr/senimg/duplomb_laurent19507s_carre.jpg,Laurent Duplomb,0.6856471889703306,-0.10258564797052495
19531S,-0.7789113376522916,0.02966166733510038,Joly,Patrice,SOC,SER,Nièvre,190,https://www.senat.fr/senateur/joly_patrice19531s.html,https://www.senat.fr/senimg/joly_patrice19531s_carre.jpg,Patrice Joly,-0.7789113376522916,0.05259160875017799
19533U,0.7222729982416983,-0.05283572407402091,Piednoir,Stéphane,UMP,Les Républicains,Maine-et-Loire,169,https://www.senat.fr/senateur/piednoir_stephane19533u.html,https://www.senat.fr/senimg/piednoir_stephane19533u_carre.jpg,Stéphane Piednoir,0.7222729982416983,-0.09368036183337042
