matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw,group_members,rank_left_to_right,percentile_left_to_right,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,distance_to_samantha_1d,ideal_rank_left_to_right,rank_abstention_in_group,rank_most_loyal_in_group
21061D,0.7056256050549617,-0.010623052927299832,Valente Le Hir,Sylvie,UMP,Les Républicains,Oise,100,https://www.senat.fr/senateur/valente_le_hir_sylvie21061d.html,https://www.senat.fr/senimg/valente_le_hir_sylvie21061d_carre.jpg,Sylvie Valente Le Hir,0.7056256050549617,-0.018835200225708924,131,92,0.7,0.6571054778305727,-0.024202517789836234,0.05038456719893264,proche,TRUE,FALSE,882,409,463,2,8,0.0022675736961451248,0.009070294784580499,0.9886621315192744,872,870,2,0.9977064220183486,0.9776641888574209,309,3,7
21062E,-0.8245258735828495,0.06390218786549078,Fagnen,Sébastien,SOC,SER,Manche,144,https://www.senat.fr/senateur/fagnen_sebastien21062e.html,https://www.senat.fr/senimg/fagnen_sebastien21062e_carre.jpg,Sébastien Fagnen,-0.8245258735828495,0.11330175153455811,65,32,0.484375,-0.8152406676847206,0.050540205999973865,0.01627137388007079,proche,TRUE,FALSE,882,476,277,93,36,0.1054421768707483,0.04081632653061224,0.8537414965986394,753,751,2,0.99734395750332006,0.5524872897803903,32,16.5,22
21063F,0.6179993410532162,-0.010461902270900787,Bruyen,Christian,UMP,Les Républicains,Marne,346,https://www.senat.fr/senateur/bruyen_christian21063f.html,https://www.senat.fr/senimg/bruyen_christian21063f_carre.jpg,Christian Bruyen,0.6179993410532162,-0.01854947211152622,131,37,0.27692307692307694,0.6571054778305727,-0.024202517789836234,0.041449902876708,proche,TRUE,FALSE,882,416,463,3,0,0.003401360544217687,0,0.9965986394557823,879,865,14,0.9840728100113766,0.8900379248556753,254,6.5,102.5
21064G,0.24813103478207538,0.09186475457243792,Romagny,Anne-Sophie,UC,UC,Marne,125,https://www.senat.fr/senateur/romagny_anne_sophie21064g.html,https://www.senat.fr/senimg/romagny_anne_sophie21064g_carre.jpg,Anne-Sophie Romagny,0.24813103478207538,0.16288077051850697,59,52,0.8793103448275862,0.19600620103114486,0.09263700079581998,0.05213055397549189,proche,TRUE,FALSE,882,418,422,24,18,0.027210884353741496,0.02040816326530612,0.9523809523809523,840,821,19,0.9773809523809524,0.5201696185845346,207,20,23
21065H,0.0977450694002175,0.1192878363421657,Chevalier,Cédric,RTLI,Les Indépendants,Marne,155,https://www.senat.fr/senateur/chevalier_cedric21065h.html,https://www.senat.fr/senimg/chevalier_cedric21065h_carre.jpg,Cédric Chevalier,0.0977450694002175,0.21150325592582575,20,7,0.3157894736842105,0.1570127359444524,0.11715489670009958,0.059306034508431915,proche,TRUE,FALSE,882,394,381,98,9,0.1111111111111111,0.01020408163265306,0.8786848072562359,774,765,9,0.9883720930232558,0.3697836532026767,151,15.5,8
21066J,-0.5207520018320985,0.1947074145256675,Grosvalet,Philippe,RDSE,RDSE,Loire-Atlantique,23,https://www.senat.fr/senateur/grosvalet_philippe21066j.html,https://www.senat.fr/senimg/grosvalet_philippe21066j_carre.jpg,Philippe Grosvalet,-0.5207520018320985,0.34522591227955235,16,2,0.06666666666666667,-0.43509506406770854,0.18632605781819406,0.08606601029111596,proche,TRUE,FALSE,882,454,299,124,5,0.14058956916099774,0.005668934240362812,0.8537414965986394,748,715,33,0.9558823529411765,0.24871341802963925,99,1,12
21067K,-0.7295815671704783,0.03828374789969736,Darras,Jérôme,SOC,SER,Pas-de-Calais,292,https://www.senat.fr/senateur/darras_jerome21067k.html,https://www.senat.fr/senimg/darras_jerome21067k_carre.jpg,Jérôme Darras,-0.7295815671704783,0.06787898563776128,65,60,0.921875,-0.8152406676847206,0.050540205999973865,0.08653151024957845,proche,TRUE,FALSE,882,480,272,93,37,0.1054421768707483,0.04195011337868481,0.8526077097505669,752,748,4,0.9946808510638298,0.4575429833680191,61,16.5,41
21068L,0.8173145381753715,-0.07292616042960534,Reynaud,Hervé,UMP,Les Républicains,Loire,231,https://www.senat.fr/senateur/reynaud_herve21068l.html,https://www.senat.fr/senimg/reynaud_herve21068l_carre.jpg,Hervé Reynaud,0.8173145381753715,-0.12930170288937118,131,128,0.9769230769230769,0.6571054778305727,-0.024202517789836234,0.16745428142824922,intermédiaire,FALSE,FALSE,882,415,457,10,0,0.011337868480725623,0,0.9886621315192744,872,867,5,0.9942660550458715,1.0893531219778307,345,66.5,24
21069M,-0.10011933994275878,0.009906086895766648,Szczurek,Christopher,NI,NI,Pas-de-Calais,270,https://www.senat.fr/senateur/szczurek_christopher21069m.html,https://www.senat.fr/senimg/szczurek_christopher21069m_carre.jpg,Christopher Szczurek,-0.10011933994275878,0.017563983857742285,4,1,0,-0.055072461329876726,0.003954399942858096,0.045438352196675795,proche,TRUE,FALSE,882,120,100,31,631,0.035147392290249435,0.7154195011337868,0.2494331065759637,220,218,2,0.990909090909091,0.17191924385970042,134,3,3
21070E,0.1007411330287232,0.1314064711293159,Rochette,Pierre Jean,RTLI,Les Indépendants,Loire,201,https://www.senat.fr/senateur/rochette_pierre_jean21070e.html,https://www.senat.fr/senimg/rochette_pierre_jean21070e_carre.jpg,Pierre Jean Rochette,0.1007411330287232,0.23299019703779417,20,8,0.3684210526315789,0.1570127359444524,0.11715489670009958,0.05804826154517458,proche,TRUE,FALSE,882,396,387,87,12,0.09863945578231292,0.013605442176870748,0.8877551020408163,780,765,15,0.9807692307692307,0.3727797168311824,152,9,13
21071F,0.6950947044220194,-0.036560184151883626,Aeschlimann,Marie-Do,UMP,Les Républicains,Hauts-de-Seine,138,https://www.senat.fr/senateur/aeschlimann_marie_do21071f.html,https://www.senat.fr/senimg/aeschlimann_marie_do21071f_carre.jpg,Marie-Do Aeschlimann,0.6950947044220194,-0.06482302154589296,131,85,0.6461538461538462,0.6571054778305727,-0.024202517789836234,0.039948632704160915,proche,TRUE,FALSE,882,420,455,6,1,0.006802721088435374,0.0011337868480725624,0.9920634920634921,875,861,14,0.984,0.9671332882244785,302,24.5,105
21072G,0.7348345409850917,-0.026627221467354932,Ciuntu,Marie-Carole,UMP,Les Républicains,Val-de-Marne,137,https://www.senat.fr/senateur/ciuntu_marie_carole21072g.html,https://www.senat.fr/senimg/ciuntu_marie_carole21072g_carre.jpg,Marie-Carole Ciuntu,0.7348345409850917,-0.04721138558041655,131,109,0.8307692307692308,0.6571054778305727,-0.024202517789836234,0.07776687242523628,proche,TRUE,FALSE,882,414,463,3,2,0.003401360544217687,0.0022675736961451248,0.9943310657596371,877,874,3,0.9965792474344356,1.0068731247875509,326,6.5,12
