acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name,dim1_raw,dim2_raw,group_members,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,rank_left_to_right,percentile_left_to_right,ideal_rank_left_to_right,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,groupe_couleur_dep,position_politique_dep,departement_dep,date_naissance,rank_abstention_in_group,rank_most_loyal_in_group
PA718868,-0.23204844649960343,-0.7244260405376856,Larive,Michel,PO730958,FI,La France insoumise,FI,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Ariège,Profession rattachée à l'enseignement,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#ED302C,Opposition,Michel Larive,-0.261477118955675,-0.7244260405376856,17,-0.26973340529363743,-0.778379190695363,0.06581108213093695,proche,True,False,15.0,0.8823529411764706,17.0,716,411,254,51,0,0.0712290502793296,0.0,0.9287709497206704,665,665,0,1.0,#ED302C,Opposition,Ariège,1966-08-22,4.0,4.0
PA718876,0.08244144374063829,0.5746295166200172,Besson-Moreau,Grégory,PO730964,LAREM,La République en Marche,LaREM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Aube,Président de société,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Grégory Besson-Moreau,0.0928967701228946,0.5746295166200172,332,0.026784150942995827,0.4733814855692043,0.11553743130790502,intermédiaire,False,False,325.0,0.9789156626506024,474.0,492,241,248,3,0,0.0060975609756097,0.0,0.9939024390243902,489,479,10,0.9795501022494888,#702A82,Majoritaire,Aube,1982-07-07,120.0,209.0
PA718884,0.1958283015670543,-0.2393225033456586,Bazin-Malgras,Valérie,PO730934,LR,Les Républicains,LR,Mme,VBA,2,Aube,Commerçante,https://www.hatvp.fr/pages_nominatives/bazin-malgras-valerie,#1C2EFA,Opposition,Valérie Bazin-Malgras,0.2206634902157122,-0.2393225033456586,119,0.26226051945699275,-0.39586814371825485,0.1700581579738017,intermédiaire,False,False,19.0,0.15966386554621848,538.0,647,369,207,71,0,0.1097372488408037,0.0,0.8902627511591963,575,544,31,0.9460869565217392,#1C2EFA,Opposition,Aube,1969-10-31,48.0,105.0
PA718894,0.0016867231139832545,0.4487403919647793,Dombreval,Loïc,PO730964,LAREM,La République en Marche,LaREM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Alpes-Maritimes,Chef d'entreprise,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Loïc Dombreval,0.0019006354361482,0.4487403919647793,332,0.026784150942995827,0.4733814855692043,0.03517192598727755,proche,True,False,58.0,0.1746987951807229,142.0,802,270,529,3,0,0.0037406483790523,0.0,0.9962593516209476,799,775,24,0.9699624530663328,#702A82,Majoritaire,Alpes-Maritimes,1966-04-16,75.0,264.0
PA718902,0.02260275848466156,0.4746081184756375,Roussel,Cédric,PO730964,LAREM,La République en Marche,LaREM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Alpes-Maritimes,Conseiller en gestion de patrimoine indépendant,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Cédric Roussel,0.0254692684143022,0.4746081184756375,332,0.026784150942995827,0.4733814855692043,0.0043575992447400964,proche,True,False,131.0,0.39457831325301207,223.0,960,369,575,16,0,0.0166666666666666,0.0,0.9833333333333332,944,936,8,0.9915254237288136,#702A82,Majoritaire,Alpes-Maritimes,1972-10-10,234.0,77.0
PA718910,-0.029774140558376565,0.4288822316159278,Colomb-Pitollat,Claire,PO730964,LAREM,La République en Marche,LaREM,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Bouches-du-Rhône,Ingénieure,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Claire Colomb-Pitollat,-0.0335501340777083,0.4288822316159278,332,0.026784150942995827,0.4733814855692043,0.071965435730998,proche,True,False,20.0,0.060240963855421686,100.0,549,255,288,6,0,0.0109289617486338,0.0,0.989071038251366,542,506,36,0.933579335793358,#702A82,Majoritaire,Bouches-du-Rhône,1979-09-17,182.0,316.0
PA718918,0.030550956417903268,0.4676006291805066,Louis,Alexandra,PO730964,LAREM,La République en Marche,LaREM,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Bouches-du-Rhône,Avocat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#C7C034,Minoritaire,Alexandra Louis,0.0344254666902387,0.4676006291805066,332,0.026784150942995827,0.4733814855692043,0.006899791596312132,proche,True,False,165.0,0.49698795180722893,263.0,127,70,55,2,0,0.0157480314960629,0.0,0.984251968503937,125,125,0,1.0,#C7C034,Minoritaire,Bouches-du-Rhône,1983-09-17,227.0,6.5
PA718926,-0.14483228931343028,-0.6145554885178494,Dharréville,Pierre,PO730940,GDR,Gauche démocrate et républicaine,GDR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",13,Bouches-du-Rhône,Employé (secteur privé),"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#A41914,Opposition,Pierre Dharréville,-0.1632001002923985,-0.6145554885178494,17,-0.16634002453324226,-0.6352762702649133,0.02986525523907335,proche,True,False,12.0,0.7058823529411765,33.0,1454,942,424,88,0,0.0605226960110041,0.0,0.939477303988996,1363,1357,6,0.9955979457079972,#A41914,Opposition,Bouches-du-Rhône,1975-06-15,1.0,13.0
PA718930,0.033404995345198606,0.4274408691006638,Petel,Anne-Laurence,PO730964,LAREM,La République en Marche,LaREM,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",14,Bouches-du-Rhône,Chargée des relations extérieures - secteur télécom,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Anne-Laurence Petel,0.0376414583822917,0.4274408691006638,332,0.026784150942995827,0.4733814855692043,0.046415254196306106,proche,True,False,181.0,0.5451807228915663,280.0,876,393,469,14,0,0.0159817351598173,0.0,0.9840182648401826,862,839,23,0.9733178654292344,#702A82,Majoritaire,Bouches-du-Rhône,1970-02-08,228.0,251.0
PA718944,-0.013407102599426342,0.5088714366091813,Racon-Bouzon,Cathy,PO730964,LAREM,La République en Marche,LaREM,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5,Bouches-du-Rhône,Cadre supérieur (secteur privé),"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Cathy Racon-Bouzon,-0.0151074080181232,0.5088714366091813,332,0.026784150942995827,0.4733814855692043,0.05361784671292974,proche,True,False,30.0,0.09036144578313253,113.0,730,352,370,8,0,0.010958904109589,0.0,0.989041095890411,722,707,15,0.979224376731302,#702A82,Majoritaire,Bouches-du-Rhône,1976-11-22,183.0,214.0
PA718954,0.022335352728448617,0.4821706913515202,Ahamada,Saïd,PO730964,LAREM,La République en Marche,LaREM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",7,Bouches-du-Rhône,Fonctionnaire de catégorie A,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Saïd Ahamada,0.0251679499276609,0.4821706913515202,332,0.026784150942995827,0.4733814855692043,0.009850986947390282,proche,True,False,128.0,0.3855421686746988,220.0,700,296,399,5,0,0.0071428571428571,0.0,0.9928571428571428,695,686,9,0.9870503597122302,#702A82,Majoritaire,Bouches-du-Rhône,1972-11-07,145.0,141.0
PA718962,0.014315087233126966,0.718900733261717,Zulesi,Jean-Marc,PO730964,LAREM,La République en Marche,LaREM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8,Bouches-du-Rhône,Autre cadre (secteur privé),"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Jean-Marc Zulesi,0.0161305443918307,0.718900733261717,332,0.026784150942995827,0.4733814855692043,0.2458356738500297,intermédiaire,False,False,97.0,0.2921686746987952,186.0,1276,505,767,4,0,0.0031347962382445,0.0,0.9968652037617556,1272,1266,6,0.9952830188679244,#702A82,Majoritaire,Bouches-du-Rhône,1988-06-06,62.0,37.0
PA718978,0.06185661859392438,0.3169681566828587,Laqhila,Mohamed,PO730970,MODEM,Mouvement Démocrate et apparentés,MODEM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",11,Bouches-du-Rhône,Expert-Comptable-Commissaire aux Comptes,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#F26D22,Minoritaire,Mohamed Laqhila,0.0697013518610521,0.3169681566828587,44,0.05548791092720787,0.3045318099829089,0.013972228046573177,proche,True,False,25.0,0.5681818181818182,416.0,224,89,131,4,0,0.0178571428571428,0.0,0.9821428571428572,219,216,3,0.9863013698630136,#F26D22,Minoritaire,Bouches-du-Rhône,1959-08-03,15.0,11.0
PA718990,0.07728645061255807,0.4506370652503337,Blanc,Anne,PO730964,LAREM,La République en Marche,LaREM,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Aveyron,Infirmière diplômée d'Etat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Anne Blanc,0.0870880143578823,0.4506370652503337,332,0.026784150942995827,0.4733814855692043,0.05538764237224509,proche,True,False,324.0,0.9759036144578314,466.0,470,227,240,3,0,0.0063829787234042,0.0,0.9936170212765958,467,458,9,0.9807280513918628,#702A82,Majoritaire,Aveyron,1966-07-20,128.0,204.0
PA719002,0.2518443401081699,-0.4451792299470488,Ravier,Julien,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Bouches-du-Rhône,Directeur des relations institutionnelles et médias,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Julien Ravier,0.2837835524009421,-0.4451792299470488,119,0.26226051945699275,-0.39586814371825485,0.05039920651449181,proche,True,False,56.0,0.47058823529411764,577.0,273,139,104,30,0,0.1098901098901098,0.0,0.8901098901098901,242,237,5,0.9793388429752066,#1C2EFA,Opposition,Bouches-du-Rhône,1978-02-16,49.0,41.0
PA719006,0.006466998474888718,0.3967276558474634,Le Vigoureux,Fabrice,PO730964,LAREM,La République en Marche,LaREM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Calvados,Professeur des Universités,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Fabrice Le Vigoureux,0.0072871512609223,0.3967276558474634,332,0.026784150942995827,0.4733814855692043,0.079300670207899,proche,True,False,69.0,0.20783132530120482,155.0,773,328,408,37,0,0.0478654592496765,0.0,0.9521345407503234,736,723,13,0.9823369565217392,#702A82,Majoritaire,Calvados,1969-08-27,306.0,189.0
PA719020,0.22800839955186586,-0.351564419330346,Porte,Nathalie,PO730934,LR,Les Républicains,LR,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Calvados,Cadreur-monteur en vidéo,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Nathalie Porte,0.2569247082316416,-0.351564419330346,119,0.26226051945699275,-0.39586814371825485,0.05600024743369426,proche,True,False,40.0,0.33613445378151263,560.0,314,171,110,33,0,0.1050955414012738,0.0,0.8949044585987261,281,274,7,0.9750889679715302,#1C2EFA,Opposition,Calvados,1973-02-02,41.0,53.0
