acteur_id,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique
PA841151,Fruchon,Alix,PO845425,DR,Droite Républicaine,DR,Mme,AFRU,2,Indre,Juriste,https://www.hatvp.fr/pages_nominatives/fruchon-alix-29923,#8CB0DC,
PA841183,Mansouri,Hanane,PO872880,UDDPLR,Union des droites pour la République,UDR,Mme,HMA,8,Isère,"(84) - Elève, étudiant",https://www.hatvp.fr/pages_nominatives/mansouri-hanane-27498,#3367A7,
PA841191,Nosbé,Sandrine,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,Mme,SNO,9,Isère,(54) - Employé administratif d'entreprise,https://www.hatvp.fr/pages_nominatives/nosbe-sandrine-27509,#C00D0D,
PA841199,Perez,Thierry,PO845401,RN,Rassemblement National,RN,M.,TPE,10,Isère,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/perez-thierry-27484,#313567,
PA841207,Alloncle,Charles,PO847173,UDR,UDR,UDR,M.,CAL,9,Hérault,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/alloncle-charles-27438,#3367A7,
PA841215,Mesmeur,Marie,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,Mme,MME,1,Ille-et-Vilaine,Educatrice spécialisée,https://www.hatvp.fr/pages_nominatives/mesmeur-marie-27489,#C00D0D,
PA841223,Lahais,Tristan,PO845439,ECOS,Écologiste et Social,EcoS,M.,TLA,2,Ille-et-Vilaine,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/lahais-tristan,#77AA79,
PA841243,Saint-Pasteur,Sébastien,PO845419,SOC,Socialistes et apparentés,SOC,M.,SSA,7,Gironde,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/saint-pasteur-sebastien-21765,#F5B4CE,
PA841251,Feld,Mathilde,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,Mme,MFD,12,Gironde,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/feld-mathilde-27420,#C00D0D,
PA841295,Courbon,Pierrick,PO845419,SOC,Socialistes et apparentés,SOC,M.,PCU,1,Loire,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/courbon-pierrick-27487,#F5B4CE,
PA841315,Benbrahim,Karim,PO845419,SOC,Socialistes et apparentés,SOC,M.,KBN,1,Loire-Atlantique,(38) - Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/benbrahim-karim-27472,#F5B4CE,
PA841327,Roussel,Fabrice,PO845419,SOC,Socialistes et apparentés,SOC,M.,FRO,5,Loire-Atlantique,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/roussel-fabrice-16764,#F5B4CE,
PA841339,Brard,Jean-Michel,PO845470,HOR,Horizons & Indépendants,HOR,M.,JBD,9,Loire-Atlantique,(22) - Commerçant et assimilé,https://www.hatvp.fr/pages_nominatives/brard-jean-michel,#B5E2F9,
PA841351,Duplessy,Emmanuel,PO845439,ECOS,Écologiste et Social,EcoS,M.,EDU,2,Loiret,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/duplessy-emmanuel-27499,#77AA79,
PA841359,de Pélichy,Constance,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,Mme,CPE,3,Loiret,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/de-pelichy-constance-12077,#FFD96F,
PA841367,Proença,Christophe,PO845419,SOC,Socialistes et apparentés,SOC,M.,CPR,2,Lot,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/proenca-christophe-20503,#F5B4CE,
PA841377,Rey-Rinchet,Emeline,PO845425,DR,Droite Républicaine,DR,Mme,ERE,3,Lot-et-Garonne,Ostéopathe,https://www.hatvp.fr/pages_nominatives/rey-rinchet-emeline-30410,#8CB0DC,
PA841381,Pantel,Sophie,PO845419,SOC,Socialistes et apparentés,SOC,Mme,SPN,1,Lozère,Cadre de la fonction publique d'État,https://www.hatvp.fr/pages_nominatives/pantel-sophie,#F5B4CE,
PA841395,Michelet,Maxime,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,MMI,3,Marne,Historien,https://www.hatvp.fr/pages_nominatives/michelet-maxime-27504,#3367A7,
PA841419,Girard,Damien,PO845439,ECOS,Écologiste et Social,EcoS,M.,DGI,5,Morbihan,(38) - Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/girard-damien-27427,#77AA79,
PA841431,Colin-Oesterlé,Nathalie,PO845470,HOR,Horizons & Indépendants,HOR,Mme,NCO,3,Moselle,(31) - Profession libérale,https://www.hatvp.fr/pages_nominatives/colin-oesterle-nathalie,#B5E2F9,
PA841439,Jenft,Pascal,PO845401,RN,Rassemblement National,RN,M.,PJE,5,Moselle,(21) - Artisan,https://www.hatvp.fr/pages_nominatives/jenft-pascal-27440,#313567,
PA841451,Guibert,Julien,PO845401,RN,Rassemblement National,RN,M.,JGU,2,Nièvre,(46) - Profession intermédiaire administrative et commerciale des entreprises,https://www.hatvp.fr/pages_nominatives/guibert-julien-27431,#313567,
PA841463,Mercier,Estelle,PO845419,SOC,Socialistes et apparentés,SOC,Mme,EME,1,Meurthe-et-Moselle,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/mercier-estelle-19015,#F5B4CE,
PA841471,Hablot,Stéphane,PO845419,SOC,Socialistes et apparentés,SOC,M.,SHA,2,Meurthe-et-Moselle,Education nationale,https://www.hatvp.fr/pages_nominatives/hablot-stephane,#F5B4CE,
PA841479,Weber,Frédéric,PO845401,RN,Rassemblement National,RN,M.,FWE,3,Meurthe-et-Moselle,(43) - Profession intermédiaire de la santé et du travail social,https://www.hatvp.fr/pages_nominatives/weber-frederic-27513,#313567,
PA841487,Boulogne,Anthony,PO845401,RN,Rassemblement National,RN,M.,ABU,6,Meurthe-et-Moselle,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/boulogne-anthony-27516,#313567,
PA841495,Amblard,Maxime,PO845401,RN,Rassemblement National,RN,M.,MAM,1,Meuse,(38) - Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/amblard-maxime-27439,#313567,
PA841507,Bonnet,Nicolas,PO845439,ECOS,Écologiste et Social,EcoS,M.,NBO,3,Puy-de-Dôme,(38) - Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/bonnet-nicolas-17262,#77AA79,
PA841515,Le Coq,Aurélien,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,ACQ,1,Nord,(54) - Employé administratif d'entreprise,https://www.hatvp.fr/pages_nominatives/le-coq-aurelien-27462,#C00D0D,
PA841531,Bentorki,Shéhérazade,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,Mme,SBEN,8,Nord,Collaboratrice parlementaire,https://www.hatvp.fr/pages_nominatives/bentorki-sheherazade-30307,#C00D0D,
PA841543,Bodart,Jean,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,JBOD,13,Nord,Retraité de la sidérurgie,https://www.hatvp.fr/pages_nominatives/bodart-jean-26759,#FFD96F,
PA841553,Tesson,Thierry,PO845401,RN,Rassemblement National,RN,M.,TTE,17,Nord,(74) - Ancien cadre,https://www.hatvp.fr/pages_nominatives/tesson-thierry-27465,#313567,
PA841563,Marais-Beuil,Claire,PO845401,RN,Rassemblement National,RN,Mme,CMR,1,Oise,Profession libérale,https://www.hatvp.fr/pages_nominatives/marais-beuil-claire-27496,#313567,
PA841575,Vos,Frédéric-Pierre,PO845401,RN,Rassemblement National,RN,M.,FVO,5,Oise,avocat,https://www.hatvp.fr/pages_nominatives/vos-frederic-pierre-27512,#313567,
PA841587,Magnier,David,PO845401,RN,Rassemblement National,RN,M.,DMA,7,Oise,"(48) - Contremaître, agent de maîtrise",https://www.hatvp.fr/pages_nominatives/magnier-david-27488,#313567,
PA841595,Chazé,Cendrine,PO845425,DR,Droite Républicaine,DR,Mme,CFOC,3,Orne,Secrétaire de mairie,https://www.hatvp.fr/pages_nominatives/chaze-cendrine-30333,#8CB0DC,
PA841605,Golliot,Antoine,PO845401,RN,Rassemblement National,RN,M.,AGO,5,Pas-de-Calais,(47) - Technicien,https://www.hatvp.fr/pages_nominatives/golliot-antoine-27428,#313567,
PA841613,de Fleurian,Marc,PO845401,RN,Rassemblement National,RN,M.,MFL,7,Pas-de-Calais,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/de-fleurian-marc-27491,#313567,
PA841621,Evrard,Auguste,PO845401,RN,Rassemblement National,RN,M.,AEV,8,Pas-de-Calais,Collaborateur de cabinet en mairie,https://www.hatvp.fr/pages_nominatives/evrard-auguste-27502,#313567,
PA841633,Dufau,Peio,PO845419,SOC,Socialistes et apparentés,SOC,M.,PDU,6,Pyrénées-Atlantiques,"(48) - Contremaître, agent de maîtrise",https://www.hatvp.fr/pages_nominatives/dufau-peio-27497,#F5B4CE,
