acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name
PA840159,0.5264930107440354,-0.06673754665657691,Clavet,Bruno,PO845401,RN,Rassemblement National,RN,M.,BCL,3,Pas-de-Calais,(45) - Profession intermédiaire administrative de la fonction publique,https://www.hatvp.fr/pages_nominatives/clavet-bruno-27340,#313567,,Bruno Clavet
PA840175,-0.5715532281512726,0.08942121579220101,Bregman,Dorine,PO845419,SOC,Socialistes et apparentés,SOC,Mme,DBRE,7,Paris,Consultante en participation citoyenne,https://www.hatvp.fr/pages_nominatives/bregman-dorine-30322,#F5B4CE,,Dorine Bregman
PA840235,0.041139749921175105,0.42024566015659337,Frébault,Moerani,PO845407,EPR,Ensemble pour la République,EPR,M.,MFB,1,Polynésie Française,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/frebault-moerani-27343,#7B4591,,Moerani Frébault
PA840657,0.6914273343598734,0.06954230136058762,Ricourt Vaginay,Sophie,PO872880,UDDPLR,Union des droites pour la République,UDR,Mme,SVA,2,Alpes-de-Haute-Provence,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/ricourt-vaginay-sophie,#3367A7,,Sophie Ricourt Vaginay
PA840665,-0.5474443841330278,0.11355444419584391,Allemand,Marie-José,PO845419,SOC,Socialistes et apparentés,SOC,Mme,MAL,1,Hautes-Alpes,(12) - Agriculteur sur moyenne exploitation,https://www.hatvp.fr/pages_nominatives/allemand-marie-jose-27432,#F5B4CE,,Marie-José Allemand
PA840673,-0.5243154313505743,0.11899169464162401,Rossi,Valérie,PO845419,SOC,Socialistes et apparentés,SOC,Mme,VRS,2,Hautes-Alpes,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/rossi-valerie-22877,#F5B4CE,,Valérie Rossi
PA840685,0.723128715158725,0.05823867909555791,Trébuchet,Vincent,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,VTR,2,Ardèche,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/trebuchet-vincent-27507,#3367A7,,Vincent Trébuchet
PA840701,0.6556683559163239,0.06504128879696491,Chaix,Bernard,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,BCH,3,Alpes-Maritimes,(22) - Commerçant et assimilé,https://www.hatvp.fr/pages_nominatives/chaix-bernard-22632,#3367A7,,Bernard Chaix
PA840721,0.6972177945504592,0.019626561892847103,Chavent,Marc,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,MCH,5,Ain,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/chavent-marc-27459,#3367A7,,Marc Chavent
PA840745,0.646303180839458,-0.07789484897982371,Jordan,Édouard,PO845401,RN,Rassemblement National,RN,M.,EJO,1,Aude,Inspecteur des finances publiques,https://www.hatvp.fr/pages_nominatives/jordan-edouard-30408,#313567,,Édouard Jordan
PA840757,0.6686329609911685,-0.07069665162741612,Griseti,Monique,PO845401,RN,Rassemblement National,RN,Mme,MGR,1,Bouches-du-Rhône,(22) - Commerçant et assimilé,https://www.hatvp.fr/pages_nominatives/griseti-monique-27430,#313567,,Monique Griseti
PA840765,-0.5186326231299117,0.09300281837888641,Lhardit,Laurent,PO845419,SOC,Socialistes et apparentés,SOC,M.,LLH,2,Bouches-du-Rhône,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/lhardit-laurent-19668,#F5B4CE,,Laurent Lhardit
PA840773,0.7187064446001944,0.039705269312369305,Fayssat,Olivier,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,OFY,6,Bouches-du-Rhône,Dirigeant d'entreprise,https://www.hatvp.fr/pages_nominatives/fayssat-olivier-27418,#3367A7,,Olivier Fayssat
PA840781,0.7057105903390671,-0.08784172266193341,Tonussi,Romain,PO845401,RN,Rassemblement National,RN,M.,RTO,8,Bouches-du-Rhône,(45) - Profession intermédiaire administrative de la fonction publique,https://www.hatvp.fr/pages_nominatives/tonussi-romain-27506,#313567,,Romain Tonussi
PA840793,-0.39069039718096815,0.052579226745385406,Pena,Marc,PO845419,SOC,Socialistes et apparentés,SOC,M.,MPE,11,Bouches-du-Rhône,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/pena-marc-27483,#F5B4CE,,Marc Pena
PA840801,0.7389598528918759,-0.08966253007264231,Fouquart,Emmanuel,PO845401,RN,Rassemblement National,RN,M.,EFO,13,Bouches-du-Rhône,Retraité militaire,https://www.hatvp.fr/pages_nominatives/fouquart-emmanuel-27421,#313567,,Emmanuel Fouquart
PA840809,0.6323264721655083,0.10099630631428771,Verny,Gérault,PO847173,UDR,UDR,UDR,M.,GVE,14,Bouches-du-Rhône,(23) - Chef d'entreprise de 10 salariés ou plus,https://www.hatvp.fr/pages_nominatives/verny-gerault-27511,#3367A7,,Gérault Verny
PA840817,0.16740972720326944,0.31759524770002223,Bruneau,Joël,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,JBR,1,Calvados,(31) - Profession libérale,https://www.hatvp.fr/pages_nominatives/bruneau-joel,#FFD96F,,Joël Bruneau
PA840829,-0.6324714345191809,0.12565723821696653,Barusseau,Fabrice,PO845419,SOC,Socialistes et apparentés,SOC,M.,FBA,3,Charente-Maritime,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/barusseau-fabrice-27458,#F5B4CE,,Fabrice Barusseau
PA840837,0.7421693896904941,-0.10615608817410892,Markowsky,Pascal,PO845401,RN,Rassemblement National,RN,M.,PMA,4,Charente-Maritime,"(72) - Ancien artisan, commerçant, chef d'entreprise",https://www.hatvp.fr/pages_nominatives/markowsky-pascal-27495,#313567,,Pascal Markowsky
PA840857,0.719700342286548,-0.06991517012467591,Lechon,Nadine,PO845401,RN,Rassemblement National,RN,Mme,NLE,1,Dordogne,(12) - Agriculteur sur moyenne exploitation,https://www.hatvp.fr/pages_nominatives/lechon-nadine-27468,#313567,,Nadine Lechon
PA840869,0.6560666275039634,-0.062319855046681104,Joubert,Florence,PO845401,RN,Rassemblement National,RN,Mme,FJU,3,Dordogne,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/joubert-florence-27443,#313567,,Florence Joubert
PA840889,0.6740437400640322,0.031095137015058203,Bloch,Matthieu,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,MBC,3,Doubs,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/bloch-matthieu-27514,#3367A7,,Matthieu Bloch
PA840903,-0.6017107379649032,0.09612025353706331,Christophle,Paul,PO845419,SOC,Socialistes et apparentés,SOC,M.,PCH,1,Drôme,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/christophle-paul-1658,#F5B4CE,,Paul Christophle
