acteur_id,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp
PA795084,Arenas,Rodrigo,M.,RAR,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,10,Paris,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/arenas-rodrigo-24170
PA795100,Martineau,Éric,M.,EMT,PO845454,DEM,Les Démocrates,Dem,#F07E26,,3,Sarthe,Agriculteur sur moyenne exploitation,https://www.hatvp.fr/pages_nominatives/martineau-eric-24321
PA795108,Leboucher,Élise,Mme,ELE,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,4,Sarthe,Educatrice spécialisée,https://www.hatvp.fr/pages_nominatives/leboucher-elise-24322
PA795124,Padey,Didier,M.,DPY,PO845454,DEM,Les Démocrates,Dem,#F07E26,,1,Savoie,cadre commercial,https://www.hatvp.fr/pages_nominatives/padey-didier-26880
PA795136,Coulomme,Jean-François,M.,JCO,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,4,Savoie,Ingénieur commercial,https://www.hatvp.fr/pages_nominatives/coulomme-jean-francois-24341
PA795156,Keloua Hachi,Fatiha,Mme,FKE,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,8,Seine-Saint-Denis,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/keloua-hachi-fatiha-24329
PA795164,Trouvé,Aurélie,Mme,ATR,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,9,Seine-Saint-Denis,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/trouve-aurelie-24222
PA795176,Metzdorf,Nicolas,M.,NMT,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Nouvelle-Calédonie,Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/metzdorf-nicolas
PA795200,Dufour,Alma,Mme,ADU,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,4,Seine-Maritime,Responsable associative,https://www.hatvp.fr/pages_nominatives/dufour-alma-24267
PA795228,Abomangoli,Nadège,Mme,NAB,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,10,Seine-Saint-Denis,Contrôleure interne et risk manager,https://www.hatvp.fr/pages_nominatives/abomangoli-nadege-180
PA795240,Reid Arbelot,Mereana,Mme,MRE,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,3,Polynésie Française,Ingénieur en chef du contrôle de la navigation aérienne,https://www.hatvp.fr/pages_nominatives/reid-arbelot-mereana-25728
PA795244,Lenormand,Stéphane,M.,SLN,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,1,Saint-Pierre-et-Miquelon,Ancien cadre,https://www.hatvp.fr/pages_nominatives/lenormand-stephane
PA795258,Gumbs,Frantz,M.,FGU,PO845454,DEM,Les Démocrates,Dem,#F07E26,,1,Saint-Barthélemy et Saint-Martin,Personnel de direction de l'éducation nationale retraité,https://www.hatvp.fr/pages_nominatives/gumbs-frantz-24209
PA795270,Poussier-Winsback,Marie-Agnès,Mme,MPO,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,9,Seine-Maritime,Enseignante,https://www.hatvp.fr/pages_nominatives/poussier-winsback-marie-agnes-9819
PA795298,Legavre,Jérôme,M.,JLE,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,12,Seine-Saint-Denis,Professeur de lettres,https://www.hatvp.fr/pages_nominatives/legavre-jerome-24276
PA795310,Guetté,Clémence,Mme,CGU,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,2,Val-de-Marne,Cadre du secteur privé,https://www.hatvp.fr/pages_nominatives/guette-clemence-24299
PA795318,Boyard,Louis,M.,LBO,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,3,Val-de-Marne,"Elève, étudiant",https://www.hatvp.fr/pages_nominatives/boyard-louis-24178
PA795326,Weissberg,Christopher,M.,CWE,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Français établis hors de France,Cadre dirigeant,https://www.hatvp.fr/pages_nominatives/weissberg-christopher-20755
PA795334,Larrouquis,Benoît,M.,BLAR,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Français établis hors de France,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/larrouquis-benoit-29924
PA795350,Valletoux,Frédéric,M.,FVA,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,2,Seine-et-Marne,Profession de l'information,https://www.hatvp.fr/pages_nominatives/valletoux-frederic
PA795362,Belluco,Lisa,Mme,LBE,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,1,Vienne,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/belluco-lisa-19824
PA795374,Lecamp,Pascal,M.,PLE,PO845454,DEM,Les Démocrates,Dem,#F07E26,,3,Vienne,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/lecamp-pascal-24264
