acteur_id,nom,prenom,groupe_code,groupe_libelle_court,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate
PA827922,Carrère-Gée,Marie-Claire,UMPPO,Les Républicains,1,1,0,1
PA827924,Chaillou,Christophe,SOCPO,SER,1,1,0,1
PA827926,Chevalier,Cédric,RTLIP,Les Indépendants,1,1,0,1
PA827928,Ciuntu,Marie-Carole,UMPPO,Les Républicains,1,1,0,1
PA827930,Corbière Naminzo,Evelyne,CRCPO,CRCE-K,1,1,0,1
PA827932,Darras,Jérôme,SOCPO,SER,1,1,0,1
PA827934,Daubet,Raphaël,RDSEP,RDSE,1,1,0,1
PA827936,Durox,Aymeric,NIPOL,NI,1,1,0,1
PA827938,Evren,Agnès,UMPPO,Les Républicains,1,1,0,1
PA827940,Fagnen,Sébastien,SOCPO,SER,1,1,0,1
PA827942,Fargeot,Daniel,UCPOL,UC,1,1,0,1
PA827944,Grosvalet,Philippe,RDSEP,RDSE,1,1,0,1
PA827946,Guhl,Antoinette,GESTP,GEST,1,1,0,1
PA827948,Hochart,Joshua,NIPOL,NI,1,1,0,1
PA827950,Jadot,Yannick,GESTP,GEST,1,1,0,1
PA827952,Josende,Lauriane,UMPPO,Les Républicains,1,1,0,1
PA827954,Khalifé,Khalifé,UMPPO,Les Républicains,1,0,1,0
PA827956,Laouedj,Ahmed,RDSEP,RDSE,1,1,0,1
PA827958,Lermytte,Marie-Claude,RTLIP,Les Indépendants,1,1,0,1
PA827960,Louault,Vincent,RTLIP,Les Indépendants,1,1,0,1
PA827962,Margaté,Marianne,CRCPO,CRCE-K,1,1,0,1
PA827964,Martin,Pauline,UMPPO,Les Républicains,1,1,0,1
PA827966,Masset,Michel,RDSEP,RDSE,1,1,0,1
PA827968,Mellouli,Akli,GESTP,GEST,1,1,0,1
PA827970,Michallet,Damien,UMPPO,Les Républicains,1,1,0,1
PA827972,Nadille,Solanges,LREMP,RDPI,1,1,0,1
PA827974,Naturel,Georges,UMPPO,Les Républicains,1,1,0,1
PA827976,Nédélec,Anne-Marie,UMPPO,Les Républicains,1,1,0,1
PA827978,Ollivier,Mathilde,GESTP,GEST,1,1,0,1
PA827980,Omar Oili,Saïd,LREMP,RDPI,1,1,0,1
PA827982,Ouizille,Alexandre,SOCPO,SER,1,1,0,1
PA827984,Paumier,Jean-Gérard,UMPPO,Les Républicains,1,1,0,1
PA827986,Pillefer,Bernard,UCPOL,UC,1,1,0,1
PA827988,Reynaud,Hervé,UMPPO,Les Républicains,1,1,0,1
PA827990,Richard,Olivia,UCPOL,UC,1,1,0,1
PA827992,Rochette,Pierre Jean,RTLIP,Les Indépendants,1,1,0,1
PA827994,Roiron,Pierre-Alain,SOCPO,SER,1,1,0,1
PA827996,Romagny,Anne-Sophie,UCPOL,UC,1,1,0,1
PA827998,Ruelle,Jean-Luc,UMPPO,Les Républicains,1,1,0,1
PA828000,Senée,Ghislaine,GESTP,GEST,1,1,0,1
PA828002,Silvani,Silvana,CRCPO,CRCE-K,1,1,0,1
PA828004,Souyris,Anne,GESTP,GEST,1,1,0,1
PA828006,Szczurek,Christopher,NIPOL,NI,1,1,0,1
PA828008,Szpiner,Francis,UMPPO,Les Républicains,1,1,0,1
PA828010,Uzenat,Simon,SOCPO,SER,1,1,0,1
PA828012,Valente Le Hir,Sylvie,UMPPO,Les Républicains,1,1,0,1
PA828014,Vayssouze-Faure,Jean-Marc,SOCPO,SER,1,1,0,1
PA828016,Vogel,Louis,RTLIP,Les Indépendants,1,1,0,1
PA828018,Weber,Michaël,SOCPO,SER,1,1,0,1
PA828020,Xowie,Robert Wienie,CRCPO,CRCE-K,1,1,0,1
PA828022,Ziane,Adel,SOCPO,SER,1,1,0,1
PA942,de Courson,Charles,LIOT,LIOT,492,439,53,0.8922764227642277
